"Population estimates, quarterly 1 2 3 4",,,,,,,,,,,,,,,
Frequency: Quarterly,,,,,,,,,,,,,,,
Table: 17-10-0009-01 (formerly CANSIM 051-0005),,,,,,,,,,,,,,,
Release date: 2023-03-22,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Geography,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories including Nunavut (Terminated) 5,Northwest Territories 6,Nunavut 6
Q1 1951,"13,870,000",..,..,..,..,..,..,..,..,..,..,..,..t,..,..
Q2 1951,"13,937,000",..,..,..,..,..,..,..,..,..,..,..,..t,..,..
Q3 1951,"14,050,000","362,000","99,000","643,000","517,000","4,066,000","4,615,000","778,000","834,000","943,000","1,168,000","9,000","16,000t",..,..
Q4 1951,"14,163,000","365,000","99,000","646,000","519,000","4,095,000","4,665,000","784,000","836,000","950,000","1,179,000","9,000","16,000t",..,..
Q1 1952,"14,277,000","368,000","100,000","647,000","521,000","4,126,000","4,717,000","789,000","836,000","959,000","1,189,000","9,000","16,000t",..,..
Q2 1952,"14,376,000","371,000","100,000","651,000","524,000","4,153,000","4,757,000","794,000","838,000","965,000","1,198,000","9,000","16,000t",..,..
Q3 1952,"14,496,000","375,000","100,000","654,000","527,000","4,183,000","4,802,000","799,000","845,000","977,000","1,209,000","9,000","16,000t",..,..
Q4 1952,"14,598,000","377,000","101,000","657,000","529,000","4,209,000","4,841,000","802,000","850,000","985,000","1,222,000","9,000","16,000t",..,..
Q1 1953,"14,682,000","379,000","101,000","660,000","530,000","4,228,000","4,876,000","804,000","852,000","994,000","1,233,000","9,000","16,000t",..,..
Q2 1953,"14,763,000","382,000","101,000","662,000","532,000","4,249,000","4,907,000","806,000","855,000","1,002,000","1,242,000","9,000","16,000t",..,..
Q3 1953,"14,886,000","384,000","101,000","664,000","533,000","4,281,000","4,956,000","810,000","863,000","1,016,000","1,253,000","9,000","16,000t",..,..
Q4 1953,"15,001,000","387,000","101,000","667,000","535,000","4,310,000","5,002,000","814,000","866,000","1,029,000","1,265,000","9,000","16,000t",..,..
Q1 1954,"15,105,000","390,000","101,000","668,000","537,000","4,337,000","5,047,000","816,000","867,000","1,039,000","1,278,000","9,000","16,000t",..,..
Q2 1954,"15,199,000","393,000","101,000","670,000","538,000","4,365,000","5,082,000","819,000","869,000","1,047,000","1,288,000","10,000","17,000t",..,..
Q3 1954,"15,330,000","396,000","101,000","674,000","541,000","4,402,000","5,130,000","825,000","874,000","1,061,000","1,299,000","10,000","17,000t",..,..
Q4 1954,"15,444,000","399,000","101,000","676,000","543,000","4,436,000","5,174,000","830,000","877,000","1,070,000","1,311,000","10,000","17,000t",..,..
Q1 1955,"15,535,000","401,000","100,000","678,000","544,000","4,465,000","5,208,000","833,000","877,000","1,078,000","1,323,000","11,000","17,000t",..,..
Q2 1955,"15,620,000","404,000","100,000","681,000","546,000","4,492,000","5,236,000","837,000","877,000","1,084,000","1,334,000","11,000","18,000t",..,..
Q3 1955,"15,736,000","407,000","100,000","684,000","548,000","4,529,000","5,278,000","841,000","879,000","1,094,000","1,347,000","11,000","18,000t",..,..
Q4 1955,"15,834,000","410,000","100,000","688,000","550,000","4,557,000","5,311,000","844,000","880,000","1,102,000","1,362,000","12,000","18,000t",..,..
Q1 1956,"15,919,000","412,000","100,000","690,000","552,000","4,581,000","5,344,000","845,000","879,000","1,109,000","1,377,000","12,000","18,000t",..,..
Q2 1956,"16,004,000","414,000","99,000","693,000","553,000","4,606,000","5,375,000","848,000","879,000","1,118,000","1,388,000","12,000","19,000t",..,..
Q3 1956,"16,123,000","416,000","99,000","695,000","556,000","4,641,000","5,423,000","850,000","881,000","1,126,000","1,405,000","12,000","19,000t",..,..
Q4 1956,"16,235,000","418,000","99,000","695,000","557,000","4,671,000","5,470,000","852,000","880,000","1,136,000","1,426,000","12,000","19,000t",..,..
Q1 1957,"16,352,000","420,000","99,000","695,000","558,000","4,702,000","5,529,000","851,000","874,000","1,144,000","1,449,000","12,000","19,000t",..,..
Q2 1957,"16,479,000","422,000","99,000","698,000","560,000","4,737,000","5,580,000","856,000","875,000","1,153,000","1,468,000","12,000","19,000t",..,..
Q3 1957,"16,677,000","425,000","99,000","701,000","563,000","4,786,000","5,668,000","863,000","882,000","1,169,000","1,490,000","12,000","19,000t",..,..
Q4 1957,"16,810,000","427,000","99,000","702,000","565,000","4,825,000","5,722,000","863,000","884,000","1,179,000","1,511,000","13,000","20,000t",..,..
Q1 1958,"16,907,000","428,000","99,000","705,000","567,000","4,849,000","5,759,000","868,000","884,000","1,191,000","1,524,000","13,000","20,000t",..,..
Q2 1958,"16,997,000","430,000","100,000","707,000","569,000","4,879,000","5,789,000","872,000","888,000","1,198,000","1,532,000","13,000","20,000t",..,..
Q3 1958,"17,120,000","433,000","100,000","710,000","572,000","4,915,000","5,835,000","877,000","894,000","1,211,000","1,540,000","13,000","20,000t",..,..
Q4 1958,"17,225,000","435,000","101,000","713,000","574,000","4,947,000","5,874,000","881,000","898,000","1,221,000","1,548,000","13,000","20,000t",..,..
Q1 1959,"17,318,000","437,000","101,000","716,000","577,000","4,974,000","5,907,000","883,000","900,000","1,233,000","1,556,000","13,000","21,000t",..,..
Q2 1959,"17,406,000","439,000","101,000","718,000","580,000","5,002,000","5,938,000","888,000","903,000","1,241,000","1,562,000","13,000","21,000t",..,..
Q3 1959,"17,522,000","441,000","102,000","720,000","583,000","5,035,000","5,985,000","892,000","908,000","1,252,000","1,570,000","13,000","21,000t",..,..
Q4 1959,"17,624,000","443,000","102,000","722,000","584,000","5,068,000","6,020,000","896,000","912,000","1,263,000","1,580,000","13,000","21,000t",..,..
Q1 1960,"17,710,000","445,000","103,000","722,000","585,000","5,092,000","6,054,000","900,000","911,000","1,274,000","1,589,000","14,000","21,000t",..,..
Q2 1960,"17,793,000","447,000","103,000","725,000","587,000","5,119,000","6,083,000","903,000","912,000","1,282,000","1,596,000","14,000","22,000t",..,..
Q3 1960,"17,909,000","449,000","103,000","728,000","589,000","5,152,000","6,127,000","908,000","916,000","1,296,000","1,605,000","14,000","22,000t",..,..
Q4 1960,"18,009,000","452,000","104,000","731,000","591,000","5,187,000","6,158,000","911,000","918,000","1,307,000","1,614,000","14,000","22,000t",..,..
Q1 1961,"18,092,000","454,000","104,000","732,000","593,000","5,212,000","6,187,000","916,000","919,000","1,317,000","1,621,000","14,000","23,000t",..,..
Q2 1961,"18,172,000","456,000","104,000","735,000","596,000","5,238,000","6,214,000","919,000","922,000","1,325,000","1,626,000","14,000","23,000t",..,..
Q3 1961,"18,271,000","459,000","105,000","738,000","599,000","5,268,000","6,248,000","923,000","926,000","1,335,000","1,632,000","15,000","23,000t",..,..
Q4 1961,"18,363,000","462,000","106,000","740,000","600,000","5,300,000","6,275,000","927,000","929,000","1,345,000","1,640,000","15,000","24,000t",..,..
Q1 1962,"18,442,000","464,000","107,000","742,000","602,000","5,324,000","6,303,000","930,000","927,000","1,356,000","1,648,000","15,000","24,000t",..,..
Q2 1962,"18,519,000","466,000","107,000","744,000","604,000","5,350,000","6,330,000","933,000","928,000","1,363,000","1,655,000","15,000","24,000t",..,..
Q3 1962,"18,614,000","469,000","107,000","746,000","605,000","5,381,000","6,362,000","937,000","931,000","1,373,000","1,663,000","15,000","25,000t",..,..
Q4 1962,"18,708,000","471,000","107,000","748,000","607,000","5,413,000","6,395,000","940,000","931,000","1,382,000","1,674,000","15,000","25,000t",..,..
Q1 1963,"18,787,000","473,000","107,000","747,000","607,000","5,437,000","6,427,000","944,000","928,000","1,391,000","1,686,000","15,000","25,000t",..,..
Q2 1963,"18,864,000","474,000","108,000","749,000","608,000","5,461,000","6,455,000","947,000","930,000","1,398,000","1,694,000","15,000","25,000t",..,..
Q3 1963,"18,964,000","477,000","108,000","751,000","609,000","5,489,000","6,497,000","950,000","933,000","1,407,000","1,702,000","15,000","26,000t",..,..
Q4 1963,"19,061,000","479,000","109,000","752,000","609,000","5,518,000","6,535,000","953,000","935,000","1,414,000","1,716,000","15,000","26,000t",..,..
Q1 1964,"19,142,000","480,000","109,000","752,000","609,000","5,541,000","6,572,000","955,000","936,000","1,419,000","1,728,000","15,000","26,000t",..,..
Q2 1964,"19,222,000","482,000","109,000","753,000","610,000","5,566,000","6,602,000","957,000","939,000","1,425,000","1,737,000","15,000","27,000t",..,..
Q3 1964,"19,325,000","484,000","109,000","755,000","612,000","5,593,000","6,646,000","960,000","943,000","1,431,000","1,750,000","15,000","27,000t",..,..
Q4 1964,"19,420,000","485,000","109,000","756,000","612,000","5,621,000","6,687,000","961,000","946,000","1,436,000","1,765,000","15,000","27,000t",..,..
Q1 1965,"19,501,000","485,000","109,000","755,000","613,000","5,644,000","6,723,000","962,000","946,000","1,443,000","1,779,000","15,000","27,000t",..,..
Q2 1965,"19,578,000","486,000","109,000","754,000","614,000","5,668,000","6,758,000","964,000","948,000","1,445,000","1,790,000","15,000","27,000t",..,..
Q3 1965,"19,678,000","488,000","109,000","756,000","615,000","5,694,000","6,803,000","965,000","951,000","1,451,000","1,804,000","14,000","28,000t",..,..
Q4 1965,"19,777,000","489,000","109,000","755,000","616,000","5,720,000","6,849,000","963,000","953,000","1,453,000","1,827,000","15,000","28,000t",..,..
Q1 1966,"19,857,000","490,000","108,000","754,000","616,000","5,740,000","6,888,000","962,000","952,000","1,456,000","1,848,000","15,000","28,000t",..,..
Q2 1966,"19,939,000","492,000","108,000","755,000","616,000","5,762,000","6,926,000","963,000","954,000","1,459,000","1,862,000","14,000","28,000t",..,..
Q3 1966,"20,048,000","494,000","109,000","757,000","617,000","5,787,000","6,977,000","963,000","956,000","1,465,000","1,880,000","14,000","29,000t",..,..
Q4 1966,"20,146,000","496,000","109,000","756,000","617,000","5,808,000","7,025,000","959,000","957,000","1,470,000","1,905,000","15,000","29,000t",..,..
Q1 1967,"20,228,000","496,000","109,000","757,000","618,000","5,826,000","7,063,000","958,000","955,000","1,476,000","1,926,000","15,000","29,000t",..,..
Q2 1967,"20,306,000","498,000","109,000","758,000","619,000","5,846,000","7,096,000","961,000","955,000","1,483,000","1,937,000","15,000","29,000t",..,..
Q3 1967,"20,412,000","500,000","109,000","761,000","621,000","5,870,000","7,142,000","964,000","958,000","1,493,000","1,950,000","15,000","29,000t",..,..
Q4 1967,"20,509,000","502,000","109,000","762,000","622,000","5,888,000","7,186,000","966,000","959,000","1,501,000","1,970,000","15,000","29,000t",..,..
Q1 1968,"20,581,000","503,000","110,000","764,000","623,000","5,902,000","7,213,000","966,000","957,000","1,510,000","1,988,000","15,000","30,000t",..,..
Q2 1968,"20,644,000","505,000","110,000","765,000","624,000","5,916,000","7,238,000","968,000","959,000","1,518,000","1,996,000","15,000","30,000t",..,..
Q3 1968,"20,729,000","507,000","110,000","768,000","626,000","5,931,000","7,275,000","972,000","961,000","1,527,000","2,006,000","16,000","30,000t",..,..
Q4 1968,"20,814,000","509,000","111,000","771,000","628,000","5,949,000","7,305,000","974,000","962,000","1,536,000","2,023,000","16,000","30,000t",..,..
Q1 1969,"20,888,000","511,000","111,000","771,000","627,000","5,961,000","7,338,000","975,000","959,000","1,546,000","2,042,000","16,000","31,000t",..,..
Q2 1969,"20,950,000","513,000","111,000","774,000","627,000","5,975,000","7,362,000","977,000","959,000","1,553,000","2,052,000","16,000","31,000t",..,..
Q3 1969,"21,028,000","515,000","111,000","777,000","628,000","5,987,000","7,399,000","979,000","958,000","1,562,000","2,065,000","16,000","31,000t",..,..
Q4 1969,"21,111,000","516,000","111,000","778,000","628,000","6,001,000","7,442,000","979,000","955,000","1,571,000","2,082,000","16,000","32,000t",..,..
Q1 1970,"21,182,000","516,000","110,000","779,000","625,000","6,002,000","7,488,000","979,000","948,000","1,579,000","2,107,000","17,000","32,000t",..,..
Q2 1970,"21,244,000","516,000","110,000","780,000","626,000","6,005,000","7,528,000","981,000","942,000","1,589,000","2,118,000","17,000","32,000t",..,..
Q3 1970,"21,324,000","518,000","110,000","783,000","628,000","6,015,000","7,566,000","983,000","940,000","1,597,000","2,134,000","17,000","33,000t",..,..
Q4 1970,"21,400,000","519,000","111,000","784,000","628,000","6,021,000","7,613,000","982,000","933,000","1,607,000","2,152,000","17,000","33,000t",..,..
Q1 1971,"21,465,000","519,000","111,000","785,000","630,000","6,017,000","7,656,000","984,000","927,000","1,616,000","2,168,000","18,000","34,000t",..,..
Q2 1971,"21,523,000","521,000","111,000","788,000","633,000","6,022,000","7,683,000","986,000","926,000","1,623,000","2,178,000","18,000","34,000t",..,..
Q3 1971,"21,962,032","530,854","112,591","797,294","642,471","6,137,305","7,849,027","998,876","932,038","1,665,717","2,240,470","18,991","36,398t",..,..
Q4 1971,"22,039,243","534,471","112,874","798,804","644,717","6,148,121","7,882,241","998,957","928,061","1,675,638","2,258,651","19,462","37,246t",..,..
Q1 1972,"22,092,498","535,736","112,964","800,513","646,337","6,152,950","7,906,337","998,910","923,123","1,679,985","2,278,085","19,723","37,835t",..,..
Q2 1972,"22,148,919","537,368","113,314","800,542","648,056","6,165,470","7,927,220","1,000,104","921,306","1,686,758","2,290,667","19,859","38,255t",..,..
Q3 1972,"22,218,463","539,124","113,460","802,255","648,769","6,174,216","7,963,117","1,001,652","920,780","1,694,090","2,302,086","20,143","38,771t",..,..
Q4 1972,"22,288,499","541,472","113,960","805,317","651,182","6,182,065","7,992,037","1,001,682","916,659","1,705,519","2,318,552","20,570","39,484t",..,..
Q1 1973,"22,347,459","542,983","114,276","808,614","652,497","6,189,678","8,013,391","1,002,589","913,591","1,710,866","2,338,148","20,813","40,013t",..,..
Q2 1973,"22,405,392","544,026","114,437","809,697","655,725","6,199,080","8,035,129","1,005,005","912,191","1,717,910","2,350,837","20,968","40,387t",..,..
Q3 1973,"22,491,777","545,561","114,620","812,386","656,720","6,213,149","8,075,547","1,007,358","911,937","1,725,327","2,367,271","21,148","40,753t",..,..
Q4 1973,"22,570,338","546,717","114,944","814,351","658,693","6,227,045","8,107,108","1,008,908","908,856","1,735,396","2,386,932","20,874","40,514t",..,..
Q1 1974,"22,649,538","547,107","115,189","816,353","661,016","6,238,468","8,139,808","1,012,378","907,546","1,739,942","2,409,913","20,973","40,845t",..,..
Q2 1974,"22,723,274","547,385","115,566","816,688","662,560","6,251,741","8,172,562","1,015,368","907,748","1,746,975","2,424,995","20,895","40,791t",..,..
Q3 1974,"22,807,969","549,604","115,962","818,751","664,744","6,268,571","8,204,275","1,018,206","908,457","1,754,621","2,442,578","21,069","41,131t",..,..
Q4 1974,"22,907,390","551,508","116,401","821,251","669,506","6,286,708","8,240,114","1,018,954","908,714","1,769,880","2,461,396","21,335","41,623t",..,..
Q1 1975,"22,979,190","552,812","117,031","823,084","671,135","6,299,783","8,260,161","1,019,529","910,276","1,782,575","2,479,085","21,580","42,139t",..,..
Q2 1975,"23,048,990","554,166","117,316","824,791","673,918","6,310,999","8,284,503","1,021,824","913,118","1,795,097","2,489,116","21,692","42,450t",..,..
Q3 1975,"23,143,275","556,496","117,724","826,549","677,008","6,330,303","8,319,795","1,024,975","917,415","1,808,689","2,499,564","21,908","42,849t",..,..
Q4 1975,"23,240,585","558,900","118,009","830,351","682,086","6,348,244","8,352,911","1,026,093","922,468","1,825,051","2,510,751","22,214","43,507t",..,..
Q1 1976,"23,304,197","560,024","118,264","832,765","685,155","6,362,125","8,366,498","1,028,134","925,570","1,839,191","2,520,425","22,259","43,787t",..,..
Q2 1976,"23,369,845","560,856","118,298","833,741","687,521","6,377,976","8,387,985","1,030,093","928,697","1,852,651","2,525,812","22,263","43,952t",..,..
Q3 1976,"23,449,808","562,639","118,648","835,166","689,494","6,396,761","8,413,779","1,031,758","931,612","1,869,287","2,533,899","22,441","44,324t",..,..
Q4 1976,"23,533,565","563,591","118,925","837,578","690,936","6,404,158","8,438,765","1,033,171","936,235","1,896,466","2,546,813","22,509","44,418t",..,..
Q1 1977,"23,591,713","563,387","119,121","838,385","691,810","6,412,575","8,458,617","1,034,113","938,455","1,914,570","2,554,051","22,262","44,367t",..,..
Q2 1977,"23,656,739","564,217","119,297","839,315","693,580","6,423,152","8,481,322","1,035,920","941,297","1,931,214","2,560,711","22,308","44,406t",..,..
Q3 1977,"23,725,843","565,348","119,902","840,028","695,843","6,433,133","8,504,080","1,037,369","944,621","1,948,263","2,570,315","22,462","44,479t",..,..
Q4 1977,"23,801,445","566,116","120,459","842,051","696,378","6,431,509","8,530,102","1,038,470","947,400","1,974,721","2,586,668","22,747","44,824t",..,..
Q1 1978,"23,849,503","565,981","120,764","842,961","696,872","6,432,019","8,548,453","1,038,859","948,753","1,991,454","2,595,858","22,668","44,861t",..,..
Q2 1978,"23,903,687","566,671","121,014","843,663","697,851","6,436,705","8,569,298","1,040,028","950,365","2,006,745","2,603,502","22,834","45,011t",..,..
Q3 1978,"23,963,203","567,639","121,684","844,628","699,514","6,440,459","8,590,144","1,040,881","952,430","2,022,241","2,615,162","23,157","45,264t",..,..
Q4 1978,"24,025,447","568,417","121,952","846,612","699,937","6,442,774","8,604,263","1,038,528","954,473","2,047,919","2,632,020","23,120","45,432t",..,..
Q1 1979,"24,071,889","568,329","122,104","847,511","700,237","6,446,529","8,619,239","1,037,449","955,552","2,064,776","2,641,872","22,845","45,446t",..,..
Q2 1979,"24,128,180","569,012","122,277","848,272","701,261","6,455,295","8,638,099","1,037,417","957,375","2,079,840","2,650,940","22,845","45,547t",..,..
Q3 1979,"24,201,544","570,075","122,885","849,396","703,158","6,465,996","8,662,088","1,037,272","959,735","2,096,966","2,665,238","22,972","45,763t",..,..
Q4 1979,"24,279,044","570,976","123,002","850,336","703,038","6,472,095","8,674,941","1,034,189","961,723","2,128,647","2,691,121","23,036","45,940t",..,..
Q1 1980,"24,345,365","570,899","123,109","850,915","703,538","6,480,428","8,693,157","1,033,557","963,231","2,149,996","2,707,690","22,834","46,011t",..,..
Q2 1980,"24,418,295","571,554","123,275","851,541","704,475","6,492,192","8,715,218","1,033,985","965,215","2,168,863","2,722,921","22,876","46,180t",..,..
Q3 1980,"24,515,667","572,759","123,735","852,659","706,219","6,505,997","8,746,013","1,034,435","967,548","2,191,029","2,745,861","23,019","46,393t",..,..
Q4 1980,"24,603,534","573,582","123,445","853,389","705,237","6,515,323","8,757,388","1,034,017","970,183","2,227,159","2,773,680","23,380","46,751t",..,..
Q1 1981,"24,665,355","573,420","123,315","853,673","704,763","6,523,258","8,770,591","1,033,968","971,544","2,249,907","2,790,754","23,311","46,851t",..,..
Q2 1981,"24,732,826","574,199","123,285","854,024","705,241","6,534,508","8,787,156","1,034,805","973,372","2,270,227","2,805,394","23,517","47,098t",..,..
Q3 1981,"24,819,915","575,302","123,551","854,871","706,438","6,547,207","8,812,286","1,035,545","975,759","2,291,104","2,826,558","23,880","47,414t",..,..
Q4 1981,"24,920,120","575,276","123,496","857,038","706,008","6,558,545","8,846,005","1,037,183","979,469","2,319,715","2,845,212","24,120","48,053t",..,..
Q1 1982,"24,979,229","573,343","123,335","857,469","705,608","6,565,745","8,865,774","1,039,300","981,559","2,337,458","2,857,268","24,302","48,068t",..,..
Q2 1982,"25,042,069","573,292","123,225","857,592","706,179","6,572,316","8,892,646","1,042,251","983,744","2,352,042","2,865,557","24,571","48,654t",..,..
Q3 1982,"25,116,942","573,795","123,588","859,038","707,457","6,580,631","8,920,288","1,045,224","986,582","2,369,827","2,876,513","24,668","49,331t",..,..
Q4 1982,"25,193,538","575,898","123,919","862,255","709,894","6,584,666","8,957,042","1,049,816","991,621","2,378,405","2,885,875","24,320","49,827t",..,..
Q1 1983,"25,242,830","576,813","124,181","864,117","711,021","6,588,636","8,982,933","1,052,538","993,810","2,383,354","2,891,441","23,838","50,148t",..,..
Q2 1983,"25,300,372","577,523","124,479","865,796","712,338","6,595,846","9,010,994","1,055,586","997,100","2,388,090","2,898,574","23,702","50,344t",..,..
Q3 1983,"25,366,451","579,164","125,102","868,289","714,842","6,602,976","9,039,564","1,059,752","1,001,249","2,393,587","2,907,502","23,664","50,760t",..,..
Q4 1983,"25,434,150","579,603","125,634","872,143","716,531","6,608,417","9,074,145","1,063,952","1,005,175","2,394,239","2,919,166","23,760","51,385t",..,..
Q1 1984,"25,482,358","579,558","125,906","874,076","717,434","6,613,628","9,100,590","1,066,222","1,007,484","2,394,892","2,927,258","23,544","51,766t",..,..
Q2 1984,"25,539,861","579,810","126,184","875,922","718,627","6,621,748","9,129,833","1,069,201","1,010,840","2,396,706","2,935,384","23,603","52,003t",..,..
Q3 1984,"25,607,053","580,065","126,563","877,471","720,488","6,631,220","9,167,484","1,071,810","1,014,615","2,393,907","2,947,181","23,921","52,328t",..,..
Q4 1984,"25,677,668","579,356","126,877","881,323","721,509","6,640,276","9,210,346","1,075,088","1,018,785","2,390,913","2,956,332","24,168","52,695t",..,..
Q1 1985,"25,721,170","579,043","127,330","883,012","721,932","6,645,778","9,230,294","1,078,327","1,020,040","2,395,813","2,962,108","24,156","53,337t",..,..
Q2 1985,"25,774,717","579,320","127,486","884,525","722,406","6,654,729","9,256,175","1,081,013","1,021,914","2,401,499","2,967,584","24,245","53,821t",..,..
Q3 1985,"25,842,116","579,275","127,619","885,848","723,287","6,665,802","9,294,657","1,082,495","1,024,928","2,404,490","2,975,131","24,375","54,209t",..,..
Q4 1985,"25,914,797","577,784","127,864","887,408","723,955","6,676,959","9,338,435","1,085,016","1,027,418","2,407,001","2,984,237","24,458","54,262t",..,..
Q1 1986,"25,962,414","577,248","128,256","887,435","724,277","6,684,699","9,362,036","1,087,851","1,027,137","2,415,590","2,988,964","24,359","54,562t",..,..
Q2 1986,"26,019,615","577,105","128,403","888,157","724,432","6,693,133","9,391,784","1,090,433","1,027,812","2,424,950","2,994,267","24,364","54,775t",..,..
Q3 1986,"26,100,278","576,306","128,436","889,087","725,019","6,708,170","9,437,359","1,091,552","1,028,717","2,432,930","3,003,621","24,430","54,651t",..,..
Q4 1986,"26,187,639","575,396","128,281","891,078","725,304","6,727,250","9,493,289","1,092,636","1,029,554","2,429,949","3,015,876","24,782","54,244t",..,..
Q1 1987,"26,256,140","575,586","128,429","891,424","725,368","6,745,101","9,531,478","1,094,659","1,029,639","2,432,958","3,021,900","25,125","54,473t",..,..
Q2 1987,"26,346,370","575,802","128,645","891,908","726,566","6,765,059","9,577,947","1,097,076","1,031,336","2,439,074","3,032,807","25,386","54,764t",..,..
Q3 1987,"26,446,601","575,242","128,641","893,606","727,768","6,781,984","9,637,945","1,098,373","1,032,799","2,440,877","3,048,651","25,706","55,009t",..,..
